ID;Study ID;Reference;Grouping;Victim;Perpetrator;Route Victim;Route Perpetrator;Mechanism;Compartment;AUCR Avg;AUCR AvgType;AUCR Var;AUCR VarType;CmaxR Avg;CmaxR AvgType;CmaxR Var;CmaxR VarType;t_placebo_0;t_placebo_end;t_treatment_0;t_treatment_end;t Unit;R Dose correction factor;Comment;Dose;Dose free API;Dose Unit;Route;Times of Administration;Times Unit;Description;Comment Regimen;Administered form;Formulation type;Infusion duration [min];Water volume ingested for drug intake [mL];Comment on administration/formulation;Fasted/Fed state;Duration of fasting before drug administration [h];Duration of fasting after drug administration [h];Comment on food intake
179;Gorski 2003;https://www,ncbi,nlm,nih,gov/pubmed/12966371;iv with Perpetrator (Rifampicin);Midazolam;Rifampicin;IV;PO;Induction;Whole Blood;0,448979592;Approx, Avg;;;;;;;0;inf;132;inf;h;1;;600;;mg;PO;S0-T24-R7;h;MD OD (7 days);MD;;pill, INN, rifampicin;;;;;;;
191;Greiner 1999;https://www,ncbi,nlm,nih,gov/pubmed/10411543;po with Perpetrator (Rifampicin);Digoxin;Rifampicin;PO;PO;Induction;Plasma;0,697080292;Approx, Avg;;;0,481481481;Approx, Avg;;;0;inf;240;inf;h;1;;600;;mg;PO;S0-T24-R16;h;MD OD (16 days);MD;rifampin;RIFA Gr�nenthal GmbH;;;;;;;
193;Greiner 1999;https://www,ncbi,nlm,nih,gov/pubmed/10411543;iv with Perpetrator (Rifampicin);Digoxin;Rifampicin;IV;PO;Induction;Plasma;0,853379152;Approx, Avg;;;0,834008097;Approx, Avg;;;0;inf;240;inf;h;1;;600;;mg;PO;S0-T24-R16;h;MD OD (16 days);MD;rifampin;RIFA Gr�nenthal GmbH;;;;;;;
215;Gurley 2006;https://www,ncbi,nlm,nih,gov/pubmed/16432272;with Perpetrator (Rifampicin);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,057160804;Approx, Avg;;;0,120915033;arith, Mean;;;0;inf;146;inf;h;1;;300;;mg;PO;S0-T12-R14;h;MD BID (7 days);MD;Rifampin;300mg, Rifadinﾮ, Aventis Pharmaceuticals;;;twice daily;;;;
217;Gurley 2006;https://www,ncbi,nlm,nih,gov/pubmed/16432272;with Perpetrator (Clarithomycin);Midazolam;Clarithromycin;PO;PO;Mechanism_based_Inactivation;Plasma;8,39285714;Approx, Avg;;;3,795597484;arith, Mean;;;0;inf;146;inf;h;;;500;;mg;PO;(S-0,T-12,R-14);h;MD BID (7 days);MD;clarithromycin;500 mg, Biaxinﾮ, Abbott Laboratories;;;twice daily;;;;
221;Gurley 2008a;https://www,ncbi,nlm,nih,gov/pubmed/17495878;with Perpetrator (Rifampicin);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,06031746;Approx, Avg;;;0,107623318;arith, Mean;;;0;inf;146;inf;h;1;;300;;mg;PO;S0-T12-R14;h;MD BID (7 days);MD;Rifampin;300mg, Rifadinﾮ, Aventis Pharmaceuticals;;;twice daily;;;;
223;Gurley 2008a;https://www,ncbi,nlm,nih,gov/pubmed/17495878;with Perpetrator (Clarithomycin);Midazolam;Clarithromycin;PO;PO;Mechanism_based_Inactivation;Plasma;5,4833984;Approx, Avg;;;2,174329502;arith, Mean;;;0;inf;146;inf;h;;;500;;mg;PO;(S-0,T-12,R-14);h;MD BID (7 days);MD;clarithromycin;500 mg, Biaxinﾮ, Abbott Laboratories;;;twice daily;;;;
227;Gurley 2008b;https://www,ncbi,nlm,nih,gov/pubmed/18214850;with Perpetrator (Rifampicin);Digoxin;Rifampicin;PO;PO;Induction;Serum;0,69565217;Approx, Avg;;;0,615384615;arith, Mean;;;0;inf;146;inf;h;1;;300;;mg;PO;S0-T12-R14;h;MD BID (7 days);MD;Rifampin;Rifadinﾮ, Aventis Pharmaceuticals;;;twice daily;;;;
229;Gurley 2008b;https://www,ncbi,nlm,nih,gov/pubmed/18214850;with Perpetrator (Clarithomycin);Digoxin;Clarithromycin;PO;PO;Mechanism_based_Inactivation;Serum;1,46575342;Approx, Avg;;;1,75;arith, Mean;;;0;inf;144;inf;h;;;500;;mg;PO;(S-0,T-12,R-14);h;MD BID (7 days);MD;clarithromycin;Biaxinﾮ, Abbott Laboratories;;;twice daily;;;;
271;Jalava 1997;https://www,ncbi,nlm,nih,gov/pubmed/9421099;po with Perpetrator (Itraconazole);Digoxin;Itraconazole;PO;PO;Reversible_Inhibition;Serum;168;arith, Mean;;;134;arith, Mean;;;0;inf;49;inf;h;;;200;;mg;;0-24-48-72-96;;MD OD (5 days);;;Sporanox 100-mg caps, Janssen Pharmaceuticals, Beerse, Belgium;;120;;;;;
276;Kharasch 1997;https://www,ncbi,nlm,nih,gov/pubmed/9232132;with Perpetrator (Rifampicin);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,379310345;Approx, Avg;;;;;;;0;inf;120;inf;h;1;AUCR estimated from CL ratio;600;;mg;PO;0-24-48-72-96;h;MD OD (5 days);MD;;;;;;;;;
278;Kharasch 1997;https://www,ncbi,nlm,nih,gov/pubmed/9232132;with Perpetrator (Rifampicin);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;0,363013699;Approx, Avg;;;;;;;0;inf;120,5;inf;h;1;AUCR estimated from CL ratio;600;;mg;PO;0-24-48-72-96;h;MD OD (5 days);MD;;;;;;;;;
280;Kharasch 2004;https://www,ncbi,nlm,nih,gov/pubmed/15536460;iv with Perpetrator (Rifampicin);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,521126761;Approx, Avg;;;1,009960159;Approx, CmaxR;;;0;inf;104;128;h;1;;600;;mg;PO;S0-T24-R6;h;MD OD (6 days);MD OD;;;;;;;;;
283;Kharasch 2004;https://www,ncbi,nlm,nih,gov/pubmed/15536460;iv with Perpetrator (Rifampicin);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;375;Approx, Avg;;;1,003325942;Approx, CmaxR;;;0;inf;105;129;h;1;;600;;mg;PO;S0-T24-R6;h;MD OD (6 days);MD OD;;;;;;;;;
286;Kharasch 2004;https://www,ncbi,nlm,nih,gov/pubmed/15536460;po #1 with Perpetrator (Rifampicin);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,052631579;Approx, Avg;;;0,10989011;Approx, CmaxR;;;0;inf;128;inf;h;1;;600;;mg;PO;S0-T24-R6;h;MD OD (6 days);MD OD;;;;;;;;;
288;Kharasch 2004;https://www,ncbi,nlm,nih,gov/pubmed/15536460;po #1 (60 ﾵg/kg) with Perpetrator (Rifampicin);Alfentanil;Rifampicin;PO;PO;Induction;Plasma;0,045631068;Approx, Avg;;;0,111111111;Approx, CmaxR;;;0;inf;129;inf;h;1;;600;;mg;PO;S0-T24-R6;h;MD OD (6 days);MD OD;;;;;;;;;
294;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 5 mg);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,84;geo, Mean;0,13;+/- 90%CI;1,03225806;arith, Mean;;;0;inf;108;132;h;1;;5;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
295;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 10 mg);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,77;geo, Mean;0,12;+/- 90%CI;1,064516129;arith, Mean;;;0;inf;108;132;h;1;;10;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
296;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 25 mg);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,63;geo, Mean;0,11;+/- 90%CI;0,838709677;arith, Mean;;;0;inf;108;132;h;1;;25;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
297;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 75 mg);Midazolam;Rifampicin;IV;PO;Induction;Plasma;0,6;geo, Mean;0,12;+/- 90%CI;1,322580645;arith, Mean;;;0;inf;108;132;h;1;;75;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
299;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 5 mg);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;0,83;geo, Mean;0,16;+/- 90%CI;1,039215686;arith, Mean;;;0;inf;109;133;h;1;;5;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
300;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 10 mg);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;0,75;geo, Mean;0,15;+/- 90%CI;1,049019608;arith, Mean;;;0;inf;109;133;h;1;;10;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
301;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 25 mg);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;0,59;geo, Mean;0,12;+/- 90%CI;1;arith, Mean;;;0;inf;109;133;h;1;;25;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
302;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;iv with Perpetrator (Rifampicin @ 75 mg);Alfentanil;Rifampicin;IV;PO;Induction;Plasma;0,51;geo, Mean;0,12;+/- 90%CI;1,029411765;arith, Mean;;;0;inf;109;133;h;1;;75;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
304;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 5 mg);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,8;geo, Mean;0,19;+/- 90%CI;0,8;arith, Mean;;;0;inf;132;inf;h;1;;5;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
305;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 10 mg);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,68;geo, Mean;0,17;+/- 90%CI;0,93333333;arith, Mean;;;0;inf;132;inf;h;1;;10;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
306;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 25 mg);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,4;geo, Mean;0,1;+/- 90%CI;0,506666667;arith, Mean;;;0;inf;132;inf;h;1;;25;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
307;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 75 mg);Midazolam;Rifampicin;PO;PO;Induction;Plasma;0,25;geo, Mean;0,09;+/- 90%CI;0,34;arith, Mean;;;0;inf;132;inf;h;1;;75;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
309;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 5 mg);Alfentanil;Rifampicin;PO;PO;Induction;Plasma;0,74;geo, Mean;0,16;+/- 90%CI;0,862745098;arith, Mean;;;0;inf;133;inf;h;1;;5;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
310;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 10 mg);Alfentanil;Rifampicin;PO;PO;Induction;Plasma;0,61;geo, Mean;0,23;+/- 90%CI;0,862745098;arith, Mean;;;0;inf;133;inf;h;1;;10;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
311;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 25 mg);Alfentanil;Rifampicin;PO;PO;Induction;Plasma;0,3;geo, Mean;0,1;+/- 90%CI;0,490196078;arith, Mean;;;0;inf;133;inf;h;1;;25;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
312;Kharasch 2011;https://www,ncbi,nlm,nih,gov/pubmed/21562488;po with Perpetrator (Rifampicin @ 75 mg);Alfentanil;Rifampicin;PO;PO;Induction;Plasma;0,13;geo, Mean;0,06;+/- 90%CI;0,254901961;arith, Mean;;;0;inf;133;inf;h;1;;75;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;rifampin;capsules;;;at bedtime;;;;
314;Kirby 2012;https://www,ncbi,nlm,nih,gov/pubmed/22190694;Study 1 - Staggered Administration with RIF;Digoxin;Rifampicin;PO;PO;Induction;Plasma;0,81;geo, Mean;;;0,78;geo, Mean;;;0;inf;324;inf;h;1;;600;;mg;PO;S0-T24-R14;h;MD OD (14 days);QD;rifampin;300-mg capsules Novartis;;;;;;;
316;Kirby 2012;https://www,ncbi,nlm,nih,gov/pubmed/22190694;Study 2 - Simultaneous Administration with RIF;Digoxin;Rifampicin;PO;PO;Induction;Plasma;1,25;geo, Mean;;;1,55;geo, Mean;;;0;inf;360;inf;h;1;;600;;mg;PO;S0-T24-R14;h;MD OD (14 days);QD;rifampin;300-mg capsules Novartis;;;;;;;
318;Kivist� 1997;https://www,ncbi,nlm,nih,gov/pubmed/9333111;with Perpetrator (Erythromycin);Buspirone;Erythromycin;PO;PO;Mechanism_based_Inactivation;Plasma;5,9;;;;5;;;;0;inf;79;inf;h;;;500;;mg;PO;0-6-14-24-30-38-48-54-62-72-78;h;MD TID (3 days);MD;erythromycin base;Ery-Max 250 mg enterocapsule;;150;;Fasted;2;3;wrt, administration of buspirone
320;Kivist� 1997;https://www,ncbi,nlm,nih,gov/pubmed/9333111;with Perpetrator (Itraconazole);Buspirone;Itraconazole;PO;PO;Reversible_Inhibition;Plasma;19,2;;;;13,4;;;;0;inf;79;inf;h;;;100;;mg;PO;0-6-24-30-48-54-72-78;h;MD BID (3 days);MD;;Sporanox;;150;;Fasted;2;3;wrt, administration of buspirone
327;Lamberg 1998a;https://www,ncbi,nlm,nih,gov/pubmed/9923581;with Perpetrator (Fluvoxamine);Buspirone;Fluvoxamine;PO;PO;Reversible_Inhibition;Plasma;2,35;;0,75-4,69;Range;2,01;;0,69-3,96;Range;0;inf;114;inf;h;;;100;;mg;PO;0-24-48-72-96;h;MD OD (5 days);SD;;Fevarin;;150;;Fasted;2;3;wrt, administration of buspirone
329;Lamberg 1998b;https://www,ncbi,nlm,nih,gov/pubmed/9578186;with Perpetrator (Rifampicin);Buspirone;Rifampicin;PO;PO;Induction;Plasma;104;;0,063-0,145;95% CI;163;;0,101-0,226;95% CI;0;inf;113;inf;h;1;;30;;mg;PO;0-24-48-72-96;h;MD OD (5 days);SD;;Rimapen Orion;;150;;Fasted;2;3;wrt, administration of buspirone
331;Lamberg 1998c;https://www,ncbi,nlm,nih,gov/pubmed/9663178;with Perpetrator (Verapamil);Buspirone;Verapamil;PO;PO;Mechanism_based_Inactivation;Plasma;3,4;;;;3,4;;;;0;inf;30;inf;h;;;80;;mg;PO;0-5-12-24-29;h;;SD;;Verapamil tablet Orion;;150;;Fasted;2;3;wrt, administration of buspirone
333;Lamberg 1998c;https://www,ncbi,nlm,nih,gov/pubmed/9663178;with Perpetrator (Diltiazem);Buspirone;Diltiazem;PO;PO;Mechanism_based_Inactivation;Plasma;5,5;;;;4,1;;;;0;inf;30;inf;h;;;60;;mg;PO;0-5-12-24-29;h;;SD;;Diltiazem tablet Orion;;150;;Fasted;2;3;wrt, administration of buspirone
337;Larsen 2007;https://www,ncbi,nlm,nih,gov/pubmed/17365992;with Perpetrator (Rifampicin);Digoxin;Rifampicin;PO;PO;Induction;Serum;0,817346939;Approx, Avg;;;;;;;0;inf;144;inf;h;1;;600;;mg;PO;0-24-48-72-96-120;h;MD OD (6 days);MD;;;;;;;;;
338;Larsen 2007;https://www,ncbi,nlm,nih,gov/pubmed/17365992;with Perpetrator (Ketoconazole);Digoxin;Ketoconazole;PO;PO;Reversible_Inhibition;Serum;1,091836735;Approx, Avg;;;;;;;0;inf;96;inf;h;;;200;;mg;PO;0-24-48-72;h;MD OD (5 days);MD;;;;;;;;;
2036;Kim 2018;https://www,ncbi,nlm,nih,gov/pubmed/28877336;Midazolam + Rifampicin Male;Midazolam;Rifampicin;IV;PO;Induction;Plasma;1,15;geom, Mean (GMR);1,025 - 1,275;90% CI;;;;;0;inf;216;inf;h;2,5;Cave! Different dose treatment vs control, Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control),;600;;mg;PO;S0-T24-R10;h;MD OD (10 days);MD, q,d, for 10 days;rifampicin;oral formulation;;;;;;;
2039;Kim 2018;https://www,ncbi,nlm,nih,gov/pubmed/28877336;Midazolam + Rifampicin Female;Midazolam;Rifampicin;IV;PO;Induction;Plasma;1225;geom, Mean (GMR);1,15 - 1,325;90% CI;;;;;0;inf;216;inf;h;2,5;Cave! Different dose treatment vs control, Ratios calculated as reported Ratio*Dose(under Rif coadmin)/Dose(control),;600;;mg;PO;S0-T24-R10;h;MD OD (10 days);MD, q,d, for 10 days;rifampicin;oral formulation;;;;;;;
354;Markert 2013;https://www,ncbi,nlm,nih,gov/pubmed/23748747;with Perpetrator (Clarithromycin);Midazolam;Clarithromycin;PO;PO;Mechanism_based_Inactivation;Plasma;5,555555556;geo, Mean?;4,76190476190476-6,66666666666667;;;;;;0;inf;72,25;inf;h;;from metabolic clearance ratio;500;;mg;PO;(S-0,T-12,R-8);h;MD BID (4 days);MD;;Klacid Pro;;;;;;;
362;Okudaira 2007;https://www,ncbi,nlm,nih,gov/pubmed/17585116;EM 2 with Perpetrator (Erythromycin);Midazolam;Erythromycin;PO;PO;Mechanism_based_Inactivation;Plasma;1,16;arith, mean;0,45;arith, SD;0,909090909;Approx, Avg;;;0;25;25;73;h;;"Reported values in the paper are dose-normalized; the values given here refer to the absolute doses and are not dose-normalized";200;;mg;PO;0-5-10,5-15-24-29-34,5-39;h;MD QID (2 days);MD;erythromycin;Erythrocin Dainippon Pharmaceutical Co;;150;;Fed;;;standardized light breakfast at 07:20am
363;Okudaira 2007;https://www,ncbi,nlm,nih,gov/pubmed/17585116;EM 4 with Perpetrator (Erythromycin);Midazolam;Erythromycin;PO;PO;Mechanism_based_Inactivation;Plasma;1,69;arith, mean;0,8;arith, SD;1,2;Approx, Avg;;;0;25;73;145;h;;"Reported values in the paper are dose-normalized; the values given here refer to the absolute doses and are not dose-normalized";200;;mg;PO;0-5-10,5-15-24-29-34,5-39-48-53-58,5-63-72-77-82,5-87;h;MD QID (4 days);MD;erythromycin;Erythrocin Dainippon Pharmaceutical Co;;150;;Fed;;;standardized light breakfast at 07:20am
364;Okudaira 2007;https://www,ncbi,nlm,nih,gov/pubmed/17585116;EM 7 with Perpetrator (Erythromycin);Midazolam;Erythromycin;PO;PO;Mechanism_based_Inactivation;Plasma;1,69;arith, mean;0,7;arith, SD;1,172727273;Approx, Avg;;;0;25;145;inf;h;;"Reported values in the paper are dose-normalized; the values given here refer to the absolute doses and are not dose-normalized";200;;mg;PO;0-5-10,5-15-24-29-34,5-39-48-53-58,5-63-72-77-82,5-87-96-101-106,5-111-120-125-130,5-135-144-149-154,5-159;h;MD QID (7 days);MD;erythromycin;Erythrocin Dainippon Pharmaceutical Co;;150;;Fed;;;standardized light breakfast at 07:20am
366;Olkkola 1993;https://www,ncbi,nlm,nih,gov/pubmed/8453848;po with Perpetrator (Erythromycin);Midazolam;Erythromycin;PO;PO;Mechanism_based_Inactivation;Plasma;4,067402;geo, Mean;0,71-12,0;Range;2,7;Approx, Avg;;;0;inf;128;inf;h;;Individual AUC ratios extracted from Fig, 5, the geometric mean value listed here as calculated based on the extracted values;500;;mg;PO;(S0-T8-R16)-126-136-144-152-160;h;MD TID (7 days);three times a day;erythromycin base;Etromycin, 500 mg enterotablet, Orion Pharmaceutical Company Ltd,;;200;;;;;
